SalePrice,YearSold,LotFrontage,LotSize,HouseStyle,OverallQual,OverallCond,YearBuilt,ExterQual,ExterCond,TotalBsmtSF,1stFlrSF,2ndFlrSF,GrLivArea,FullBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,SaleType,SaleCondition
185088,2010,63,8577,2Story,7,5,2004,Gd,TA,847,847,886,1733,2,3,1,Gd,7,BuiltIn,2004,Fin,2,433,WD ,Normal
180000,2010,,7750,SLvl,7,5,2000,TA,TA,384,774,656,1430,2,3,1,TA,7,BuiltIn,2000,Fin,2,400,WD ,Normal
222500,2010,,9505,2Story,7,5,2001,Gd,TA,884,884,1151,2035,2,3,1,Gd,8,BuiltIn,2001,Fin,2,434,WD ,Normal
333168,2010,108,14774,2Story,9,5,1999,Gd,TA,1393,1422,1177,2599,2,4,1,Gd,10,BuiltIn,1999,Fin,3,779,WD ,Normal
355000,2010,60,17433,2Story,8,5,1998,Gd,TA,1629,1645,830,2475,2,4,1,Gd,7,Attchd,1998,Fin,3,962,WD ,Normal
260400,2010,59,10593,1Story,7,5,1996,Gd,TA,1720,1720,0,1720,2,3,1,Gd,7,Attchd,1996,Fin,2,527,WD ,Normal
325000,2010,98,12256,2Story,8,5,1994,Gd,TA,1463,1500,1122,2622,2,3,1,Gd,9,Attchd,1994,RFn,2,712,WD ,Normal
290000,2010,92,11764,2Story,8,7,1999,Gd,TA,1152,1164,1106,2270,2,4,1,Gd,9,Attchd,1999,Fin,3,671,WD ,Normal
221000,2010,58,16770,2Story,7,5,1998,Gd,TA,1195,1195,644,1839,2,4,1,TA,7,Attchd,1998,Fin,2,486,WD ,Normal
410000,2010,56,14720,1.5Fin,8,5,1995,Gd,TA,2033,2053,1185,3238,2,4,1,Gd,9,Attchd,1996,Fin,3,666,WD ,Normal
221500,2010,73,8987,1Story,8,5,2005,Gd,TA,1595,1595,0,1595,2,2,1,Gd,6,Attchd,2005,RFn,3,880,WD ,Normal
204500,2010,92,9215,1Story,7,5,2009,Gd,TA,1218,1218,0,1218,2,2,1,Gd,4,Attchd,2009,RFn,2,676,New,Partial
215200,2010,72,8640,2Story,7,5,2009,TA,TA,756,764,783,1547,2,3,1,Gd,7,Attchd,2009,Unf,2,614,Con,Normal
262500,2010,75,9000,1Story,8,5,2008,Gd,TA,1566,1566,0,1566,2,3,1,Gd,7,Attchd,2008,RFn,2,750,WD ,Normal
254900,2010,100,12552,2Story,7,5,2004,Gd,TA,991,991,956,1947,2,3,1,Gd,8,Attchd,2004,RFn,2,678,WD ,Normal
271500,2010,84,10440,1Story,6,5,2005,Gd,TA,1468,1468,0,1468,2,2,1,Gd,6,Attchd,2005,Fin,2,528,WD ,Normal
233000,2010,76,10142,2Story,7,5,2004,Gd,TA,956,956,1128,2084,2,4,1,Gd,8,BuiltIn,2004,RFn,2,618,WD ,Normal
181000,2010,70,11920,2Story,7,5,2004,Gd,TA,831,831,828,1659,2,3,1,Gd,8,Attchd,2004,RFn,2,484,WD ,Normal
205000,2010,,8880,2Story,7,5,1994,Gd,TA,948,1222,888,2110,2,3,1,Gd,8,Attchd,1994,RFn,2,463,WD ,Normal
143000,2010,50,8012,1Story,6,5,1980,TA,TA,923,923,0,923,2,2,1,TA,5,Attchd,1980,RFn,1,264,WD ,Normal
189000,2010,70,11218,2Story,6,5,1992,Gd,TA,1055,1055,790,1845,2,3,1,Gd,8,Attchd,1992,RFn,2,462,WD ,Normal
99500,2010,55,7892,1Story,6,5,1979,TA,TA,918,918,0,918,2,2,1,TA,5,Attchd,1979,Unf,1,264,WD ,Normal
125000,2010,50,7175,1Story,6,5,1984,TA,TA,744,752,0,752,1,2,1,TA,4,Attchd,1984,Unf,1,264,WD ,Normal
194500,2010,,9453,2Story,7,7,1993,Gd,TA,996,1014,730,1744,2,3,1,Gd,7,Attchd,1993,RFn,2,457,WD ,Normal
152000,2010,81,9672,1Story,6,5,1984,TA,TA,1040,1097,0,1097,2,3,1,TA,6,Attchd,1986,Unf,2,480,WD ,Normal
171000,2010,70,8400,2Story,6,6,1980,TA,TA,650,888,676,1564,2,3,1,TA,7,Attchd,1980,Unf,2,476,WD ,Normal
67500,2010,70,9800,1Story,5,5,1920,TA,Fa,816,1012,0,1012,1,2,1,TA,5,Detchd,1920,Unf,1,429,WD ,Normal
112000,2010,68,8930,1.5Fin,6,5,1978,TA,TA,0,1318,584,1902,2,4,2,TA,8,Attchd,1978,Unf,2,539,WD ,Normal
148000,2010,88,11782,SFoyer,5,7,1961,TA,TA,1109,1155,0,1155,1,3,1,Gd,6,Detchd,1987,Unf,2,576,WD ,Normal
138500,2010,65,8450,1Story,5,8,1965,TA,Gd,894,894,0,894,1,3,1,TA,5,Detchd,1973,Unf,1,336,WD ,Normal
122000,2010,,9819,1Story,5,5,1967,TA,Gd,882,900,0,900,1,3,1,TA,5,Detchd,1970,Unf,1,280,WD ,Normal
133000,2010,75,7500,1Story,5,5,1963,TA,TA,1040,1040,0,1040,1,3,1,TA,5,Attchd,1963,Fin,1,308,WD ,Normal
127000,2010,,6897,1Story,5,8,1962,TA,Gd,1040,1040,0,1040,1,3,1,TA,6,Detchd,1962,Unf,1,260,WD ,Normal
169000,2010,39,15410,1Story,6,6,1974,TA,Gd,1208,1494,0,1494,2,3,1,TA,7,Attchd,1974,Fin,2,461,WD ,Abnorml
190000,2010,107,10186,2Story,7,5,1992,Gd,TA,750,1061,862,1923,2,3,1,Gd,8,Attchd,1992,RFn,2,564,WD ,Normal
362500,2010,85,13143,2Story,8,5,1993,Gd,TA,1231,1251,1098,2349,2,4,1,Gd,9,Attchd,1993,RFn,3,762,WD ,Normal
285000,2010,88,11134,2Story,8,5,1992,Gd,TA,1390,1402,823,2225,2,4,1,Gd,7,Attchd,1992,RFn,3,713,WD ,Normal
260000,2010,25,4835,1Story,7,5,2004,Gd,TA,1488,1488,0,1488,2,2,1,Gd,6,Attchd,2004,Fin,2,506,WD ,Normal
190000,2010,39,3515,2Story,7,5,2004,Gd,TA,840,840,840,1680,2,2,1,Gd,3,Attchd,2004,RFn,2,588,WD ,Normal
155000,2010,30,3215,2Story,7,5,2004,Gd,TA,600,600,600,1200,2,2,1,Gd,4,Detchd,2004,RFn,2,480,ConLD,Normal
151000,2010,30,3182,2Story,7,5,2004,Gd,TA,600,600,600,1200,2,2,1,Gd,4,Detchd,2004,RFn,2,480,WD ,Normal
149500,2010,24,2544,2Story,7,5,2004,Gd,TA,600,600,600,1200,2,2,1,Gd,4,Detchd,2004,RFn,2,480,WD ,Normal
152000,2010,24,2544,2Story,6,5,2005,Gd,TA,600,600,636,1236,2,2,1,Gd,4,Detchd,2005,RFn,2,480,WD ,Normal
222000,2010,,4403,1Story,7,5,2009,Ex,TA,1470,1478,0,1478,2,2,1,Gd,7,Attchd,2009,Fin,2,484,New,Partial
177500,2010,,2117,2Story,6,5,2000,Gd,TA,756,769,804,1573,2,3,1,Gd,5,Detchd,2000,Unf,2,440,WD ,Normal
177000,2010,,2980,2Story,6,5,2000,Gd,TA,756,756,756,1512,2,2,1,Gd,5,Detchd,2000,Unf,2,440,WD ,Normal
155000,2010,24,2572,2Story,7,5,1999,Gd,TA,696,696,720,1416,2,3,1,Gd,6,Detchd,1999,Unf,2,484,WD ,Normal
147110,2010,,2403,2Story,7,5,2003,Gd,TA,530,530,550,1080,2,2,1,Gd,4,Attchd,2003,RFn,2,496,WD ,Normal
267916,2010,57,12853,1Story,8,5,2010,Gd,TA,1642,1418,0,1418,1,1,1,Gd,6,Attchd,2010,RFn,3,852,New,Partial
254000,2010,68,7379,2Story,8,5,2000,Gd,TA,975,975,873,1848,2,3,1,Gd,7,Attchd,2000,RFn,2,592,WD ,Normal
155000,2010,30,4420,1Story,8,5,1980,Gd,TA,728,788,0,788,1,1,1,Gd,3,Detchd,1980,Fin,2,484,WD ,Normal
206000,2010,40,3880,1Story,8,6,1978,Gd,TA,1226,1226,0,1226,1,1,1,Gd,4,Attchd,1978,Fin,2,484,WD ,Normal
130500,2010,,13517,2Story,6,8,1976,Gd,TA,725,725,754,1479,2,3,1,Gd,6,Attchd,1976,RFn,2,475,WD ,Normal
230000,2010,80,8000,1Story,7,5,2002,Gd,TA,1492,1492,0,1492,2,3,1,Gd,6,Attchd,2002,RFn,2,596,WD ,Normal
218500,2010,,10456,1Story,6,6,1967,TA,TA,1829,1829,0,1829,2,4,1,TA,8,Attchd,1967,RFn,2,535,WD ,Normal
243500,2010,80,10791,2Story,6,5,1993,TA,TA,1280,1280,1215,2495,2,4,1,Gd,9,Attchd,1993,Unf,2,660,WD ,Normal
205000,2010,,10603,1Story,6,7,1977,TA,TA,1610,1610,0,1610,2,3,1,Gd,6,Attchd,1977,RFn,2,480,WD ,Normal
212500,2010,,18837,1.5Fin,6,5,1978,TA,TA,1224,1287,604,1891,3,3,1,TA,7,Attchd,1978,RFn,2,678,WD ,Normal
196500,2010,80,10421,2Story,7,5,1988,TA,TA,980,980,734,1714,2,3,1,TA,7,Attchd,1988,Unf,2,496,WD ,Normal
197500,2010,78,9360,1Story,6,7,1972,TA,TA,1161,1381,0,1381,1,3,1,Gd,5,Attchd,1972,RFn,2,676,WD ,Normal
171000,2010,80,9600,2Story,6,6,1971,TA,TA,715,930,715,1645,1,4,1,TA,7,Attchd,1971,RFn,2,441,WD ,Normal
142250,2010,80,9600,1Story,5,5,1966,TA,TA,1232,1232,0,1232,1,3,1,TA,6,Attchd,1966,RFn,2,490,WD ,Normal
143000,2010,,9790,1Story,6,5,1963,TA,TA,1328,1328,0,1328,1,3,1,TA,6,Attchd,1963,Unf,2,528,WD ,Normal
128950,2010,77,9320,1Story,4,5,1959,TA,TA,950,1225,0,1225,1,3,1,TA,6,,,,0,0,WD ,Normal
159000,2010,90,9900,1Story,5,5,1966,TA,TA,1209,1209,0,1209,1,3,1,TA,6,Attchd,1966,RFn,2,504,ConLD,Normal
178900,2010,88,9680,1Story,5,6,1967,TA,TA,1510,1510,0,1510,2,3,1,Gd,6,Attchd,1967,RFn,2,517,WD ,Normal
136300,2010,,10600,SLvl,6,5,1964,TA,TA,533,1131,644,1775,2,3,1,TA,8,Attchd,1964,Unf,2,480,COD,Family
180500,2010,,14112,SLvl,5,7,1964,TA,TA,1152,1152,0,1152,1,3,1,TA,6,Attchd,1964,RFn,2,484,WD ,Normal
137500,2010,80,8800,SFoyer,6,7,1963,TA,Gd,936,1054,0,1054,1,3,1,Gd,6,Attchd,1963,RFn,2,480,WD ,Abnorml
84900,2010,98,13260,1Story,5,6,1962,TA,TA,1728,1728,0,1728,2,6,2,TA,10,,,,0,0,Oth,Abnorml
142125,2010,68,9717,1Story,5,6,1950,TA,TA,1078,1078,0,1078,1,2,1,Gd,5,Attchd,1950,Unf,1,240,WD ,Normal
197600,2010,68,9724,1.5Fin,5,7,1952,Gd,TA,1140,1929,532,2461,2,3,1,TA,7,Detchd,1994,Unf,2,400,WD ,Normal
172500,2010,120,17360,1.5Fin,6,6,1949,TA,Gd,782,1019,537,1556,2,3,1,TA,6,Attchd,1949,Unf,2,470,WD ,Normal
116500,2010,50,7207,1Story,5,7,1958,TA,Gd,858,858,0,858,1,2,1,TA,4,,,,0,0,WD ,Normal
76500,2010,55,5350,1Story,3,2,1940,TA,Po,728,1306,0,1306,1,3,1,Fa,6,,,,0,0,WD ,Normal
128000,2010,80,9920,1Story,5,5,1954,TA,TA,1056,1063,0,1063,1,3,1,TA,6,Attchd,1954,RFn,1,280,WD ,Normal
153000,2010,80,9600,SLvl,6,6,1955,TA,TA,1156,1520,0,1520,1,3,1,TA,7,Basment,1955,RFn,1,364,WD ,Normal
132000,2010,78,7800,1Story,5,6,1954,TA,TA,1268,1268,0,1268,1,2,1,TA,7,Attchd,1954,Fin,1,244,WD ,Normal
178000,2010,75,11380,SFoyer,6,8,1966,TA,TA,1080,1128,0,1128,1,2,1,Gd,5,Attchd,1966,Unf,1,315,WD ,Normal
154300,2010,80,11600,2Story,5,5,1960,TA,TA,1105,1105,1169,2274,2,5,2,TA,12,Detchd,1960,Unf,2,480,WD ,Normal
180000,2010,,19900,1Story,7,5,1970,TA,TA,1947,2207,0,2207,2,3,1,TA,7,Attchd,1970,RFn,2,576,WD ,Normal
190000,2010,137,16492,1Story,6,6,1966,Gd,TA,1517,1888,0,1888,2,2,1,Gd,6,Attchd,1966,Fin,2,578,WD ,Normal
135000,2010,70,8267,1Story,5,5,1958,TA,TA,1604,1604,0,1604,2,4,2,TA,8,Attchd,1958,Unf,2,576,WD ,Normal
214000,2010,70,8197,1Story,7,5,2003,Gd,TA,1480,1480,0,1480,2,3,1,Gd,7,Attchd,2003,RFn,2,620,WD ,Normal
136000,2010,,8050,1Story,5,5,1959,TA,TA,1143,1143,0,1143,1,3,1,TA,6,Attchd,1959,RFn,1,308,WD ,Normal
165500,2010,70,10552,1Story,5,5,1959,TA,TA,1398,1700,0,1700,1,4,1,Gd,6,Attchd,1959,RFn,2,447,WD ,Normal
145000,2010,70,8400,1Story,5,6,1957,TA,Gd,1314,1314,0,1314,1,3,1,TA,5,Attchd,1957,RFn,1,294,WD ,Normal
148000,2010,73,8760,1Story,6,6,1959,TA,TA,1194,1194,0,1194,1,3,1,TA,6,Attchd,1959,RFn,1,312,WD ,Normal
142000,2010,,12160,1Story,5,5,1959,TA,TA,1188,1188,0,1188,1,3,1,TA,6,Attchd,1959,RFn,2,531,COD,Abnorml
167500,2010,73,9300,1Story,5,5,1960,TA,TA,1268,1264,0,1264,1,3,1,TA,6,Attchd,1960,Unf,2,461,WD ,Normal
108538,2010,87,10725,1Story,5,5,1959,TA,TA,1206,1206,0,1206,1,3,1,TA,6,Attchd,1959,RFn,1,312,WD ,Normal
159500,2010,80,10032,1Story,6,5,1959,TA,TA,1244,1580,0,1580,1,3,1,TA,6,Attchd,1956,Unf,2,440,WD ,Normal
108000,2010,60,8382,1.5Fin,4,5,1956,TA,TA,832,832,505,1337,1,3,1,TA,5,Attchd,1956,Unf,1,263,WD ,Normal
135000,2010,60,10950,1Story,5,7,1952,TA,TA,864,1064,0,1064,1,2,1,Fa,4,Detchd,1952,Unf,1,318,WD ,Normal
122500,2010,119,10895,1Story,5,6,1955,TA,Gd,972,972,0,972,1,3,1,TA,5,Attchd,1955,Unf,1,305,WD ,Normal
119000,2010,70,13587,1Story,5,5,1958,TA,TA,988,988,0,988,1,2,1,TA,5,Attchd,1958,Unf,1,264,WD ,Abnorml
109000,2010,68,7922,1Story,5,7,1953,TA,Gd,1057,1057,0,1057,1,3,1,Gd,5,Detchd,1953,Unf,1,246,WD ,Abnorml
105000,2010,65,7898,1Story,4,7,1920,TA,TA,576,985,0,985,1,2,1,TA,4,Detchd,1989,Unf,2,676,WD ,Normal
107500,2010,60,7200,1Story,5,7,1955,TA,TA,0,827,0,827,1,2,1,TA,5,Detchd,1967,Unf,1,392,WD ,Normal
144900,2010,85,10200,1Story,5,7,1954,TA,TA,1086,1086,0,1086,1,3,1,TA,6,Attchd,1989,Unf,2,490,WD ,Normal
129000,2010,74,5868,1Story,5,7,1956,TA,TA,936,936,0,936,1,2,1,TA,4,Attchd,1956,Fin,1,308,WD ,Normal
97500,2010,78,17503,1.5Fin,6,5,1948,TA,TA,912,912,546,1458,1,3,1,TA,6,Attchd,1948,Unf,1,330,WD ,Abnorml
144000,2010,64,6979,SFoyer,6,5,1980,TA,TA,1056,1056,0,1056,0,0,2,TA,4,Detchd,1980,Unf,2,576,WD ,Normal
162000,2010,,9830,1Story,5,7,1959,TA,Gd,1063,1287,0,1287,1,3,1,Gd,7,Detchd,1997,Fin,2,576,WD ,Normal
242000,2010,96,11275,SLvl,7,7,1967,Gd,Gd,710,1898,1080,2978,2,5,1,Gd,11,BuiltIn,1961,Fin,2,564,WD ,Normal
132000,2010,60,8064,1.5Fin,6,8,1948,TA,TA,816,816,408,1224,1,3,1,TA,5,Detchd,1950,Unf,1,280,WD ,Normal
154000,2010,75,7500,1Story,5,7,1959,TA,TA,1246,1246,0,1246,1,3,1,Gd,6,Attchd,1959,RFn,1,305,WD ,Normal
166000,2010,71,8520,1.5Fin,5,4,1952,TA,Fa,910,910,475,1385,2,4,1,TA,6,Detchd,2000,Unf,2,720,WD ,Normal
134800,2010,60,7200,1Story,5,7,1951,TA,TA,900,900,0,900,1,3,1,Gd,5,Detchd,2005,Unf,2,576,WD ,Normal
160000,2010,87,10000,1Story,6,6,1962,TA,TA,1116,1116,0,1116,1,3,1,TA,5,Attchd,1962,Unf,2,440,WD ,Normal
148000,2010,81,7635,1Story,5,6,1960,TA,TA,1175,1175,0,1175,1,3,1,TA,6,Detchd,1960,RFn,2,484,WD ,Normal
192000,2010,80,9760,1Story,6,7,1963,TA,TA,1395,1395,0,1395,1,2,1,TA,7,Attchd,1963,RFn,2,440,WD ,Normal
155000,2010,70,7700,2Story,6,5,1966,TA,TA,756,1051,788,1839,1,4,1,TA,7,Attchd,1966,Unf,2,442,WD ,Normal
80400,2010,60,4800,1.5Fin,4,5,1900,TA,TA,709,1157,687,1844,1,3,1,TA,9,Basment,1900,Unf,1,240,COD,Abnorml
96500,2010,55,8800,1.5Fin,4,7,1910,TA,TA,576,792,348,1140,1,3,1,TA,7,,,,0,0,WD ,Normal
109500,2010,56,4485,1Story,5,7,1920,TA,TA,936,936,0,936,1,2,1,TA,5,,,,0,0,WD ,Normal
115000,2010,56,8960,1Story,5,6,1927,TA,TA,1008,1028,0,1028,1,2,1,TA,5,Detchd,1927,Unf,2,360,WD ,Normal
143000,2010,69,5805,1Story,5,7,1957,TA,TA,1347,1347,0,1347,1,3,1,Gd,6,Detchd,1957,Unf,2,551,WD ,Normal
107400,2010,60,5790,2Story,3,6,1915,Gd,Gd,840,840,765,1605,2,3,2,TA,8,Detchd,1915,Unf,1,379,WD ,Normal
80000,2010,47,4608,1Story,4,6,1945,TA,Gd,747,747,0,747,1,2,1,TA,4,Attchd,1945,Unf,1,220,WD ,Normal
119000,2010,60,7200,1Story,5,7,1940,TA,Gd,788,804,0,804,1,2,1,Gd,4,Attchd,1940,Unf,1,240,WD ,Abnorml
130000,2010,50,5500,1.5Fin,5,7,1929,TA,TA,926,926,0,1316,1,3,1,TA,6,Detchd,1974,Unf,2,484,WD ,Normal
119000,2010,50,6900,1.5Fin,6,7,1938,TA,TA,827,827,424,1251,1,3,1,Fa,6,Detchd,1938,Unf,1,240,WD ,Normal
129000,2010,69,11851,1.5Fin,5,7,1948,TA,Gd,1027,1027,606,1633,1,3,1,Gd,7,Detchd,1948,Unf,1,240,WD ,Normal
100000,2010,,8239,1.5Fin,5,6,1920,TA,TA,1008,1060,185,1245,1,3,1,TA,6,Detchd,1962,Unf,1,315,WD ,Normal
12789,2010,68,9656,1Story,2,2,1923,TA,Fa,678,832,0,832,1,2,1,TA,5,Detchd,1928,Unf,2,780,WD ,Abnorml
105900,2010,60,8520,1Story,6,8,1928,TA,Gd,624,720,0,720,1,2,1,TA,5,Detchd,2005,Unf,2,484,WD ,Normal
150000,2010,60,9600,2Story,8,9,1900,Gd,Gd,930,930,636,1566,2,3,1,Gd,7,Detchd,1930,Unf,1,288,WD ,Abnorml
139000,2010,60,10800,1.5Fin,5,6,1915,TA,Gd,686,966,686,1652,2,4,1,TA,7,Detchd,1961,Unf,1,416,WD ,Normal
240000,2010,50,9000,2Story,8,9,1890,Gd,Gd,346,1157,1111,2268,3,3,1,Gd,7,Detchd,2003,Unf,2,624,WD ,Normal
76500,2010,100,9045,2Story,5,3,1910,TA,Fa,840,1128,1128,2256,2,4,2,Fa,12,,,,0,0,WD ,Abnorml
149700,2010,90,7407,1Story,6,7,1957,TA,TA,912,1236,0,1236,1,2,1,TA,6,Attchd,1957,Unf,2,923,WD ,Normal
125500,2010,60,7740,2Story,4,7,1910,TA,TA,622,741,622,1363,1,3,1,TA,6,Detchd,1966,Unf,2,528,WD ,Normal
122500,2010,60,11340,2Story,4,6,1885,TA,TA,777,1246,1044,2290,2,4,2,TA,11,Detchd,1971,Unf,2,560,WD ,Normal
140750,2010,60,10560,2Story,6,7,1922,TA,TA,738,868,602,1470,1,2,1,TA,6,Detchd,1970,Unf,2,624,WD ,Normal
128500,2010,53,5830,1.5Fin,5,6,1950,TA,Gd,988,1030,582,1612,1,3,1,TA,7,Detchd,1950,Unf,1,363,WD ,Normal
209500,2010,,7793,2.5Unf,7,7,1922,TA,TA,1108,1160,908,2068,1,3,1,Gd,8,Detchd,1928,Unf,1,315,WD ,Normal
87000,2010,50,5000,1Story,4,7,1925,TA,TA,765,765,0,765,1,2,1,Gd,4,Detchd,1926,Unf,1,200,WD ,Normal
